space,date,demand
1236,2013-08-07,64.3097800925833
1236,2013-08-08,64.0864004629667
1236,2013-08-09,62.8770254629667
1236,2013-08-10,36.7119212963
1236,2013-08-11,36.3229166666667
1236,2013-08-12,63.73663194445
1236,2013-08-13,62.8878472222167
1236,2013-08-14,63.7739583333333
1236,2013-08-15,63.9361111111167
1236,2013-08-16,62.4949652777667
1236,2013-08-17,36.23096064815
1236,2013-08-18,36.8160879629667
1236,2013-08-19,62.62060185185
1236,2013-08-20,63.2035300925833
1236,2013-08-21,63.7013310185167
1236,2013-08-22,62.3971643518333
1236,2013-08-23,61.3616319444333
1236,2013-08-24,37.11493055555
1236,2013-08-25,37.2693865740667
1236,2013-08-26,64.6750578703667
1236,2013-08-27,68.5965856481333
1236,2013-08-28,67.3425347222333
1236,2013-08-29,71.97573127105
1236,2013-08-30,64.0367687289667
1236,2013-08-31,37.8890046296333
1236,2013-09-01,38.21875
1236,2013-09-02,40.2604166666667
1236,2013-09-03,71.63096064815
1236,2013-09-04,73.0718171296333
1236,2013-09-05,80.9046875
1236,2013-09-06,78.15358796295
1236,2013-09-07,39.4030092592667
1236,2013-09-08,39.2068865740667
1236,2013-09-09,74.5940972222167
1236,2013-09-10,75.8193865740667
1236,2013-09-11,71.7846064814667
1236,2013-09-12,72.7701388888833
1236,2013-09-13,71.6595486111167
1236,2013-09-14,39.7938078703667
1236,2013-09-15,39.6875
1236,2013-09-16,80.5495949074167
1236,2013-09-17,83.1137731481667
1236,2013-09-18,87.5899884259
1236,2013-09-19,82.4634259259167
1236,2013-09-20,74.2301504629667
1236,2013-09-21,39.0157986111167
1236,2013-09-22,43.63680555555
1236,2013-09-23,160.888136574083
1236,2013-09-24,166.394502314817
1236,2013-09-25,163.25069444445
1236,2013-09-26,116.458275462967
1236,2013-09-27,221.414120370367
1236,2013-09-28,53.85300925925
1236,2013-09-29,80.5295138888833
1236,2013-09-30,292.98680555555
1236,2013-10-01,275.344502314817
1236,2013-10-02,295.277546296283
1236,2013-10-03,257.2583333333
1236,2013-10-04,193.9388310185
1236,2013-10-05,48.9123842592667
1236,2013-10-06,44.6770833333333
1236,2013-10-07,177.884490740733
1236,2013-10-08,202.314756944433
1236,2013-10-09,190.143634259267
1236,2013-10-10,217.6816550926
1236,2013-10-11,220.337847222217
1236,2013-10-12,76.0112268518333
1236,2013-10-13,72.8728009259333
1236,2013-10-14,75.0664930555667
1236,2013-10-15,289.556886574067
1236,2013-10-16,275.350173611117
1236,2013-10-17,249.525347222217
1236,2013-10-18,267.298726851833
1236,2013-10-19,95.8386574074
1236,2013-10-20,99.9468171296333
1236,2013-10-21,300.903298611117
1236,2013-10-22,280.72471064815
1236,2013-10-23,220.44149305555
1236,2013-10-24,225.695081018517
1236,2013-10-25,266.6280671296
1236,2013-10-26,75.7645833333333
1236,2013-10-27,64.6249421296333
1236,2013-10-28,186.014120370367
1236,2013-10-29,289.84832175925
1236,2013-10-30,290.597337962933
1236,2013-10-31,276.8064814815
1236,2013-11-01,233.0390625
1236,2013-11-02,143.772800925917
1236,2013-11-03,159.167731481467
1236,2013-11-04,440.14403935185
1236,2013-11-05,386.91788194445
1236,2013-11-06,347.133969907417
1236,2013-11-07,300.795428240767
1236,2013-11-08,241.2015046296
1236,2013-11-09,108.465277777783
